"open","high","low","close","volume","timestamp","formattedOpen","formattedHigh","formattedLow","formattedClose","formattedVolume","formattedTimestamp","relatedNews","issue","redemption","highLow","peCode","newsPnacWithCsk","Date"
"4.373467","4.429358","4.370875","4.424146","0","2013-09-04T02:00:00+02:00","4.373467","4.429358","4.370875","4.424146","0","04/09/2013","","0","1","[object Object]","[object Object]","","2013-09-04"
"4.467209","4.542046","4.433249","4.542046","0","2013-09-05T02:00:00+02:00","4.467209","4.542046","4.433249","4.542046","0","05/09/2013","","0","1","[object Object]","[object Object]","","2013-09-05"
"4.580341","4.626739","4.49209","4.506528","0","2013-09-06T02:00:00+02:00","4.580341","4.626739","4.49209","4.506528","0","06/09/2013","","0","1","[object Object]","[object Object]","","2013-09-06"
"4.528884","4.531518","4.486838","4.528884","0","2013-09-09T02:00:00+02:00","4.528884","4.531518","4.486838","4.528884","0","09/09/2013","","0","1","[object Object]","[object Object]","","2013-09-09"
"4.56054","4.56054","4.475034","4.539428","0","2013-09-10T02:00:00+02:00","4.56054","4.56054","4.475034","4.539428","0","10/09/2013","","0","1","[object Object]","[object Object]","","2013-09-10"
"4.524946","4.567184","4.510466","4.534171","0","2013-09-11T02:00:00+02:00","4.524946","4.567184","4.510466","4.534171","0","11/09/2013","","0","1","[object Object]","[object Object]","","2013-09-11"
"4.522314","4.567197","4.51968","4.524949","0","2013-09-12T02:00:00+02:00","4.522314","4.567197","4.51968","4.524949","0","12/09/2013","","0","1","[object Object]","[object Object]","","2013-09-12"
"4.548701","4.597687","4.539459","4.597687","0","2013-09-13T02:00:00+02:00","4.548701","4.597687","4.539459","4.597687","0","13/09/2013","","0","1","[object Object]","[object Object]","","2013-09-13"
"4.56987","4.581791","4.459252","4.463183","0","2013-09-16T02:00:00+02:00","4.56987","4.581791","4.459252","4.463183","0","16/09/2013","","0","1","[object Object]","[object Object]","","2013-09-16"
"4.493364","4.497308","4.395232","4.40696","0","2013-09-17T02:00:00+02:00","4.493364","4.497308","4.395232","4.40696","0","17/09/2013","","0","1","[object Object]","[object Object]","","2013-09-17"
"4.409501","4.421252","4.360027","4.406891","0","2013-09-18T02:00:00+02:00","4.409501","4.421252","4.360027","4.406891","0","18/09/2013","","0","1","[object Object]","[object Object]","","2013-09-18"
"4.253998","4.369092","4.251426","4.309448","0","2013-09-19T02:00:00+02:00","4.253998","4.369092","4.251426","4.309448","0","19/09/2013","","0","1","[object Object]","[object Object]","","2013-09-19"
"4.253998","4.369092","4.251426","4.2926","0","2013-09-20T02:00:00+02:00","4.253998","4.369092","4.251426","4.2926","0","20/09/2013","","0","1","[object Object]","[object Object]","","2013-09-20"
"4.292604","4.310652","4.253883","4.268046","0","2013-09-23T02:00:00+02:00","4.292604","4.310652","4.253883","4.268046","0","23/09/2013","","0","1","[object Object]","[object Object]","","2013-09-23"
"4.268046","4.269281","4.20247","4.24482","0","2013-09-24T02:00:00+02:00","4.268046","4.269281","4.20247","4.24482","0","24/09/2013","","0","1","[object Object]","[object Object]","","2013-09-24"
"4.24482","4.262674","4.221506","4.235639","0","2013-09-25T02:00:00+02:00","4.24482","4.262674","4.221506","4.235639","0","25/09/2013","","0","1","[object Object]","[object Object]","","2013-09-25"
"4.235639","4.355862","4.235639","4.341563","0","2013-09-26T02:00:00+02:00","4.235639","4.355862","4.235639","4.341563","0","26/09/2013","","0","1","[object Object]","[object Object]","","2013-09-26"
"4.341563","4.434185","4.341563","4.428943","0","2013-09-27T02:00:00+02:00","4.341563","4.434185","4.341563","4.428943","0","27/09/2013","","0","1","[object Object]","[object Object]","","2013-09-27"
"4.428943","4.627349","4.428943","4.439416","0","2013-09-30T02:00:00+02:00","4.428943","4.627349","4.428943","4.439416","0","30/09/2013","","0","1","[object Object]","[object Object]","","2013-09-30"
"4.439416","4.592445","4.430523","4.436654","0","2013-10-01T02:00:00+02:00","4.439416","4.592445","4.430523","4.436654","0","01/10/2013","","0","1","[object Object]","[object Object]","","2013-10-01"
"4.436654","4.436654","4.34492","4.370491","0","2013-10-02T02:00:00+02:00","4.436654","4.436654","4.34492","4.370491","0","02/10/2013","","0","1","[object Object]","[object Object]","","2013-10-02"
"4.370491","4.409546","4.370444","4.370444","0","2013-10-03T02:00:00+02:00","4.370491","4.409546","4.370444","4.370444","0","03/10/2013","","0","1","[object Object]","[object Object]","","2013-10-03"
"4.370444","4.370444","4.293851","4.322941","0","2013-10-04T02:00:00+02:00","4.370444","4.370444","4.293851","4.322941","0","04/10/2013","","0","1","[object Object]","[object Object]","","2013-10-04"
"4.322941","4.322941","4.272022","4.291367","0","2013-10-07T02:00:00+02:00","4.322941","4.322941","4.272022","4.291367","0","07/10/2013","","0","1","[object Object]","[object Object]","","2013-10-07"
"4.291367","4.359327","4.291367","4.345928","0","2013-10-08T02:00:00+02:00","4.291367","4.359327","4.291367","4.345928","0","08/10/2013","","0","1","[object Object]","[object Object]","","2013-10-08"
"4.345928","4.377492","4.340902","4.375048","0","2013-10-09T02:00:00+02:00","4.345928","4.377492","4.340902","4.375048","0","09/10/2013","","0","1","[object Object]","[object Object]","","2013-10-09"
"4.370117","4.379892","4.299537","4.333547","0","2013-10-10T02:00:00+02:00","4.370117","4.379892","4.299537","4.333547","0","10/10/2013","","0","1","[object Object]","[object Object]","","2013-10-10"
"4.333547","4.333547","4.333547","4.333547","0","2013-10-11T02:00:00+02:00","4.333547","4.333547","4.333547","4.333547","0","11/10/2013","","0","1","[object Object]","[object Object]","","2013-10-11"
"4.333547","4.333547","4.248599","4.259466","0","2013-10-14T02:00:00+02:00","4.333547","4.333547","4.248599","4.259466","0","14/10/2013","","0","1","[object Object]","[object Object]","","2013-10-14"
"4.259466","4.281172","4.232849","4.249735","0","2013-10-15T02:00:00+02:00","4.259466","4.281172","4.232849","4.249735","0","15/10/2013","","0","1","[object Object]","[object Object]","","2013-10-15"
"4.249735","4.26645","4.233833","4.243486","0","2013-10-16T02:00:00+02:00","4.249735","4.26645","4.233833","4.243486","0","16/10/2013","","0","1","[object Object]","[object Object]","","2013-10-16"
"4.243486","4.257915","4.200041","4.202446","0","2013-10-17T02:00:00+02:00","4.243486","4.257915","4.200041","4.202446","0","17/10/2013","","0","1","[object Object]","[object Object]","","2013-10-17"
"4.202446","4.216809","4.174742","4.178341","0","2013-10-18T02:00:00+02:00","4.202446","4.216809","4.174742","4.178341","0","18/10/2013","","0","1","[object Object]","[object Object]","","2013-10-18"
"4.198678","4.205896","4.174657","4.193869","0","2013-10-21T02:00:00+02:00","4.198678","4.205896","4.174657","4.193869","0","21/10/2013","","0","1","[object Object]","[object Object]","","2013-10-21"
"4.193869","4.1998","4.09927","4.119533","0","2013-10-22T02:00:00+02:00","4.193869","4.1998","4.09927","4.119533","0","22/10/2013","","0","1","[object Object]","[object Object]","","2013-10-22"
"4.119533","4.127604","4.088251","4.121631","0","2013-10-23T02:00:00+02:00","4.119533","4.127604","4.088251","4.121631","0","23/10/2013","","0","1","[object Object]","[object Object]","","2013-10-23"
"4.121631","4.180238","4.102443","4.146651","0","2013-10-24T02:00:00+02:00","4.121631","4.180238","4.102443","4.146651","0","24/10/2013","","0","1","[object Object]","[object Object]","","2013-10-24"
"4.146651","4.23922","4.146651","4.217481","0","2013-10-25T02:00:00+02:00","4.146651","4.23922","4.146651","4.217481","0","25/10/2013","","0","1","[object Object]","[object Object]","","2013-10-25"
"4.217481","4.239149","4.189692","4.190895","0","2013-10-28T01:00:00+01:00","4.217481","4.239149","4.189692","4.190895","0","28/10/2013","","0","1","[object Object]","[object Object]","","2013-10-28"
"4.190895","4.196835","4.126031","4.149975","0","2013-10-29T01:00:00+01:00","4.190895","4.196835","4.126031","4.149975","0","29/10/2013","","0","1","[object Object]","[object Object]","","2013-10-29"
"4.149975","4.206242","4.149975","4.185756","0","2013-10-30T01:00:00+01:00","4.149975","4.206242","4.149975","4.185756","0","30/10/2013","","0","1","[object Object]","[object Object]","","2013-10-30"
"4.185756","4.206165","4.108913","4.136431","0","2013-10-31T01:00:00+01:00","4.185756","4.206165","4.108913","4.136431","0","31/10/2013","","0","1","[object Object]","[object Object]","","2013-10-31"
"4.136431","4.136431","4.082561","4.120773","0","2013-11-01T01:00:00+01:00","4.136431","4.136431","4.082561","4.120773","0","01/11/2013","","0","1","[object Object]","[object Object]","","2013-11-01"
"4.120773","4.132652","4.081266","4.112305","0","2013-11-04T01:00:00+01:00","4.120773","4.132652","4.081266","4.112305","0","04/11/2013","","0","1","[object Object]","[object Object]","","2013-11-04"
"4.112305","4.186636","4.112305","4.170984","0","2013-11-05T01:00:00+01:00","4.112305","4.186636","4.112305","4.170984","0","05/11/2013","","0","1","[object Object]","[object Object]","","2013-11-05"
"4.170984","4.194838","4.128688","4.188806","0","2013-11-06T01:00:00+01:00","4.170984","4.194838","4.128688","4.188806","0","06/11/2013","","0","1","[object Object]","[object Object]","","2013-11-06"
"4.188806","4.224981","4.042644","4.093886","0","2013-11-07T01:00:00+01:00","4.188806","4.224981","4.042644","4.093886","0","07/11/2013","","0","1","[object Object]","[object Object]","","2013-11-07"
"4.093886","4.165749","4.087813","4.151314","0","2013-11-08T01:00:00+01:00","4.093886","4.165749","4.087813","4.151314","0","08/11/2013","","0","1","[object Object]","[object Object]","","2013-11-08"
"4.151314","4.151314","4.111632","4.13201","0","2013-11-11T01:00:00+01:00","4.151314","4.151314","4.111632","4.13201","0","11/11/2013","","0","1","[object Object]","[object Object]","","2013-11-11"
"4.13201","4.160764","4.13201","4.15114","0","2013-11-12T01:00:00+01:00","4.13201","4.160764","4.13201","4.15114","0","12/11/2013","","0","1","[object Object]","[object Object]","","2013-11-12"
"4.15114","4.176179","4.107656","4.120843","0","2013-11-13T01:00:00+01:00","4.15114","4.176179","4.107656","4.120843","0","13/11/2013","","0","1","[object Object]","[object Object]","","2013-11-13"
"4.120843","4.120843","4.058552","4.060937","0","2013-11-14T01:00:00+01:00","4.120843","4.120843","4.058552","4.060937","0","14/11/2013","","0","1","[object Object]","[object Object]","","2013-11-14"
"4.060937","4.11106","4.060937","4.096683","0","2013-11-15T01:00:00+01:00","4.060937","4.11106","4.060937","4.096683","0","15/11/2013","","0","1","[object Object]","[object Object]","","2013-11-15"
"4.096683","4.118163","4.059532","4.070275","0","2013-11-18T01:00:00+01:00","4.096683","4.118163","4.059532","4.070275","0","18/11/2013","","0","1","[object Object]","[object Object]","","2013-11-18"
